player_id,player_name,draft_year,draft_pick,draft_round,draft_team,college_name,birth_date,age_at_draft,height_in,weight_lb,position,has_college_stats,coll_season,coll_class,coll_pos,coll_conf,coll_g,coll_mp_per_g,coll_pts_per_g,coll_trb_per_g,coll_ast_per_g,coll_stl_per_g,coll_blk_per_g,coll_tov_per_g,coll_fg_pct,coll_fg3_pct,coll_ft_pct,coll_efg_pct,coll_per,coll_ts_pct,coll_usg_pct,coll_bpm,career_seasons,career_g,career_ws,career_ws_per_48,career_bpm,career_vorp,peak_bpm,window_seasons,early_vorp_sum,early_bpm_mean,early_ws_sum,early_per_mean,outcome_tier
jamesle01,LeBron James,2003,1,1,CLE,,1984-12-30,18.49,81.0,250.0,SF,False,,,,,,,,,,,,,,,,,,,,,23.0,1622.0,276.8,0.218,8.4,159.4,13.2,5,39.3,7.68,64.6,25.14,superstar
milicda01,Darko Miličić,2003,2,1,DET,,1985-06-20,18.02,84.0,250.0,C,False,,,,,,,,,,,,,,,,,,,,,10.0,468.0,7.1,0.04,-2.4,-0.9,0.6,5,0.1,-4.26,1.9,10.48,bust
anthoca01,Carmelo Anthony,2003,3,1,DEN,Syracuse,1984-05-29,19.07,79.0,238.0,PF,True,2002-03,FR,F,Big East,35.0,36.4,22.2,10.0,2.2,1.6,0.9,2.2,0.453,0.337,0.706,0.498,,0.537,29.3,,19.0,1260.0,108.5,0.12,1.3,36.7,5.0,5,10.6,1.02,35.9,19.9,superstar
boshch01,Chris Bosh,2003,4,1,TOR,Georgia Tech,1984-03-24,19.26,83.0,235.0,PF,True,2002-03,FR,F,ACC,31.0,31.0,15.6,9.0,1.2,1.0,2.2,2.3,0.56,0.478,0.73,0.597,,0.634,,,13.0,893.0,106.0,0.159,1.9,31.1,4.4,5,12.6,1.8,42.5,20.44,superstar
wadedw01,Dwyane Wade,2003,5,1,MIA,Marquette,1982-01-17,21.44,76.0,220.0,SG,True,2002-03,JR,G,CUSA,33.0,32.1,21.5,6.3,4.4,2.2,1.3,3.2,0.501,0.318,0.779,0.515,,0.573,,,16.0,1054.0,120.7,0.162,5.0,62.8,10.6,5,21.1,4.96,42.1,23.74,superstar
kamanch01,Chris Kaman,2003,6,1,LAC,Central Michigan University,1982-04-28,21.16,84.0,265.0,C,True,2002-03,JR,C,MAC,31.0,34.0,22.4,12.0,1.2,0.6,3.2,4.4,0.622,,0.749,0.622,,0.664,30.0,,13.0,735.0,24.6,0.06,-1.9,0.4,0.3,5,0.3,-2.02,14.7,13.62,rotation
hinriki01,Kirk Hinrich,2003,7,1,CHI,Kansas,1981-01-02,22.48,76.0,190.0,PG,True,2002-03,SR,G,Big 12,37.0,33.5,17.3,3.8,3.5,1.9,0.4,2.2,0.475,0.406,0.704,0.567,,0.586,,,13.0,879.0,52.5,0.093,0.0,13.3,2.8,5,11.0,1.1,32.6,14.8,all_star
fordtj01,T.J. Ford,2003,8,1,MIL,Texas,1983-03-24,20.26,72.0,165.0,PG,True,2002-03,SO,G,Big 12,33.0,33.6,15.0,3.9,7.7,2.0,0.2,3.2,0.401,0.265,0.82,0.423,,0.506,,,8.0,429.0,16.9,0.068,-0.4,4.6,2.5,5,3.4,-0.05,10.8,15.93,starter
sweetmi01,Mike Sweetney,2003,9,1,NYK,Georgetown,1982-10-25,20.67,80.0,275.0,C,True,2002-03,JR,F,Big East,34.0,32.4,22.8,10.4,1.9,1.5,3.2,2.1,0.547,0.0,0.738,0.547,,0.604,29.8,,4.0,233.0,7.8,0.103,-2.7,-0.6,-1.2,4,-0.7,-2.82,7.7,14.6,bust
hayesja01,Jarvis Hayes,2003,10,1,WAS,Georgia,1981-08-09,21.88,79.0,220.0,SF,True,2002-03,JR,F,SEC,27.0,32.3,18.3,4.4,2.0,1.1,0.4,1.4,0.503,0.425,0.784,0.576,,0.602,25.0,,7.0,427.0,10.2,0.049,-2.5,-1.3,-0.6,5,-1.0,-2.24,7.3,11.28,bust
pietrmi01,Mickaël Piétrus,2003,11,1,GSW,,1982-02-07,21.38,78.0,215.0,SF,False,,,,,,,,,,,,,,,,,,,,,10.0,557.0,19.7,0.079,-0.9,3.2,0.9,5,1.2,-1.26,10.6,12.56,starter
collini01,Nick Collison,2003,12,1,SEA,Kansas,1980-10-26,22.66,82.0,255.0,PF,True,2002-03,SR,F,Big 12,38.0,32.4,18.5,10.0,2.2,1.2,1.9,2.4,0.554,0.342,0.635,0.567,,0.583,,,14.0,910.0,44.5,0.115,-1.3,3.1,0.9,5,-0.3,-2.17,15.3,14.55,starter
banksma01,Marcus Banks,2003,13,1,MEM,UNLV,1981-11-19,21.6,74.0,200.0,PG,True,2002-03,SR,G,MWC,32.0,36.1,20.3,3.3,5.5,2.8,0.1,3.9,0.514,0.336,0.757,0.561,,0.606,28.2,,8.0,348.0,6.6,0.057,-2.0,-0.1,0.1,5,0.1,-2.42,7.2,12.16,bust
